City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
Bluff,NZ,-46.6,168.3333,55.24,70,42,9.84,1613084384
Castro,BR,-24.7911,-50.0119,61.63,94,93,4.9,1613084399
Tiksi,RU,71.6872,128.8694,-9.62,88,48,7.61,1613084463
Chui,UY,-33.6971,-53.4616,70.7,88,100,13.35,1613084423
Bredasdorp,ZA,-34.5322,20.0403,71.6,83,94,6.91,1613084398
Faanui,PF,-16.4833,-151.75,82.67,67,0,12.5,1613084780
Ilulissat,GL,69.2167,-51.1,10.4,67,75,19.57,1613084392
Fonte Boa,BR,-2.4959,-66.2662,81.46,70,21,2.19,1613084780
Souillac,MU,-20.5167,57.5167,78.8,78,75,8.05,1613084440
Luwuk,ID,-0.9516,122.7875,79.86,73,96,2.95,1613084780
Cooma,AU,-36.2333,149.1333,68.0,60,90,12.66,1613084781
Tasiilaq,GL,65.6145,-37.6368,19.4,68,90,5.48,1613084397
Namatanai,PG,-3.6667,152.4333,81.61,79,90,5.03,1613084384
Outjo,NA,-20.1167,16.15,64.81,93,100,13.62,1613084781
Lebowakgomo,ZA,-24.2,29.5,66.2,82,0,11.5,1613084781
Hithadhoo,MV,-0.6,73.0833,81.16,80,22,14.92,1613084781
Sakakah,SA,29.9697,40.2064,53.6,54,0,5.75,1613084519
Hamilton,US,39.1834,-84.5333,25.0,58,40,13.8,1613084226
Kutum,SD,14.2,24.6667,60.93,33,1,7.96,1613084782
Menongue,AO,-14.6585,17.691,67.39,64,100,4.79,1613084782
Horn Lake,US,34.9554,-90.0348,30.99,93,90,10.36,1613084782
Provideniya,RU,64.3833,-173.3,-5.8,59,20,29.08,1613084444
Hobart,AU,-42.8794,147.3294,68.0,45,20,18.41,1613084390
Astoria,US,46.1879,-123.8313,37.99,93,90,16.11,1613084783
Santana do Acaraú,BR,-3.4606,-40.2122,77.18,85,100,5.35,1613084783
Los Llanos de Aridane,ES,28.6585,-17.9182,62.6,72,0,4.61,1613084487
Guerrero Negro,MX,27.9769,-114.0611,65.05,63,0,15.9,1613084398
George Town,MY,5.4112,100.3354,78.8,83,40,3.44,1613084385
Nanning,CN,22.8167,108.3167,48.2,100,0,2.24,1613084783
Lebu,CL,-37.6167,-73.65,61.63,85,25,13.65,1613084399
Nikolskoye,RU,59.7035,30.7861,5.0,85,75,6.71,1613084388
‘Āhuimanu,US,21.4447,-157.8378,80.6,53,40,6.91,1613084784
Cherskiy,RU,68.75,161.3,-22.52,84,0,1.16,1613084422
Port Elizabeth,ZA,-33.918,25.5701,71.6,94,40,4.61,1613084453
Upernavik,GL,72.7868,-56.1549,0.03,81,88,6.13,1613084406
Yellowknife,CA,62.456,-114.3525,-4.0,71,20,12.66,1613084393
Oddur,SO,4.1213,43.8894,67.91,89,58,15.21,1613084784
Shellbrook,CA,53.2168,-106.4011,-20.2,57,75,16.11,1613084784
Hong Kong,HK,22.2855,114.1577,61.0,75,0,8.61,1613084229
Avarua,CK,-21.2078,-159.775,75.2,88,75,4.61,1613084397
Shelburne,CA,44.0787,-80.2041,15.8,67,90,4.61,1613084785
Laas,IT,46.6166,10.7002,33.8,79,0,6.91,1613084393
Sokyryany,UA,48.4475,27.4168,16.0,88,100,21.0,1613084785
Misratah,LY,32.3754,15.0925,58.15,73,0,10.45,1613084785
Niagara Falls,CA,43.1001,-79.0663,25.0,63,90,8.05,1613084555
Esperance,AU,-33.8667,121.9,59.0,72,90,6.2,1613084392
Saint Anthony,US,45.0205,-93.218,0.0,65,90,9.22,1613084785
Antofagasta,CL,-23.65,-70.4,71.6,68,20,14.97,1613084496
Sisimiut,GL,66.9395,-53.6735,4.46,90,90,9.31,1613084417
Kavieng,PG,-2.5744,150.7967,83.05,75,78,9.4,1613084464
Voznesen'ye,RU,61.0106,35.4781,-8.52,91,88,4.99,1613084786
Klaksvík,FO,62.2266,-6.589,33.8,69,3,14.97,1613084482
Pacific Grove,US,36.6177,-121.9166,57.0,62,75,5.75,1613084575
Berlevåg,NO,70.8578,29.0864,15.8,86,75,18.41,1613084442
Katobu,ID,-4.9408,122.5276,78.35,86,100,1.79,1613084537
Bayir,TR,37.2687,28.2167,60.8,77,75,13.8,1613084787
Khovd,MN,48.0056,91.6419,6.04,73,0,2.13,1613084510
Dingle,PH,10.9995,122.6711,76.32,88,88,2.66,1613084439
Shihezi,CN,44.3,86.0333,15.19,94,99,0.69,1613084787
Saskylakh,RU,71.9167,114.0833,-14.76,86,100,2.55,1613084488
Lodja,CD,-3.4833,23.4333,72.84,89,100,3.02,1613084787
Erenhot,CN,43.6475,111.9767,15.49,83,0,2.86,1613084788
Kutno,PL,52.2306,19.3641,8.01,85,20,4.61,1613084788
Hilo,US,19.7297,-155.09,73.4,73,75,9.22,1613084340
Rawalpindi,PK,33.6007,73.0679,53.01,68,6,1.01,1613084788
Bambous Virieux,MU,-20.3428,57.7575,78.8,78,75,8.05,1613084107
Vaini,TO,-21.2,-175.2,84.2,84,75,9.22,1613084431
Kudahuvadhoo,MV,2.6708,72.8944,80.35,79,42,17.2,1613084491
Leningradskiy,RU,69.3833,178.4167,-15.66,87,100,11.36,1613084473
Kamskiye Polyany,RU,55.4307,51.4171,3.2,78,90,8.95,1613084789
Talnakh,RU,69.4865,88.3972,-14.62,88,95,2.48,1613084491
Constitución,CL,-35.3333,-72.4167,62.33,83,55,6.87,1613084426
East Saint Louis,US,38.6245,-90.1509,23.0,73,90,12.66,1613084789
Port Hawkesbury,CA,45.6169,-61.3485,17.6,49,75,13.8,1613084789
Ribeira Grande,PT,38.5167,-28.7,61.77,78,99,35.59,1613084396
Mgandu,TZ,-5.95,34.1333,59.7,100,92,3.27,1613084789
Bengkulu,ID,-3.8004,102.2655,76.14,85,100,4.76,1613084461
Butaritari,KI,3.0707,172.7902,81.88,77,70,14.97,1613084387
Loudi,CN,27.7344,111.9944,48.38,93,0,0.83,1613084790
Vorukh,TJ,39.8494,70.5838,36.36,64,0,8.32,1613084790
Banda Aceh,ID,5.5577,95.3222,78.51,77,23,3.67,1613084790
Aklavik,CA,68.2191,-135.0107,-16.6,69,20,11.5,1613084514
Makakilo City,US,21.3469,-158.0858,78.8,47,1,9.22,1613084502
Tuatapere,NZ,-46.1333,167.6833,57.99,74,0,8.01,1613084432
Novovorontsovka,UA,47.5004,33.9175,44.94,92,100,16.17,1613084790
North Bend,US,43.4065,-124.2243,50.0,93,90,3.22,1613084739
Zhangjiakou Shi Xuanhua Qu,CN,40.6103,115.0447,32.41,74,0,3.51,1613084791
San Patricio,US,28.017,-97.5169,41.0,93,90,13.8,1613084476
Vidim,RU,56.4088,103.1106,-14.6,88,90,3.29,1613084791
Pombas,CV,17.1503,-25.0201,69.8,78,40,29.93,1613084791
Narsaq,GL,60.9167,-46.05,37.4,28,75,37.98,1613084465
Hualmay,PE,-11.0964,-77.6139,75.92,67,61,9.98,1613084471
Atar,MR,20.5169,-13.0499,67.44,20,0,8.46,1613084531
Snina,SK,48.9886,22.151,8.01,86,100,11.32,1613084792
Pochutla,MX,15.7432,-96.4661,87.8,42,1,16.11,1613084535
Palmerston,AU,-12.486,130.9833,87.01,79,75,9.22,1613084792
Saint Paul Harbor,US,57.79,-152.4072,37.4,87,90,37.98,1613084472
Viseu,PT,40.661,-7.9097,55.99,93,100,10.0,1613084666
Pozo Colorado,PY,-23.4923,-58.7972,78.49,54,78,2.71,1613084792
Taltal,CL,-25.4,-70.4833,70.0,63,0,4.74,1613084792
Innisfail,AU,-17.5333,146.0333,81.54,79,69,3.33,1613084792
Mount Isa,AU,-20.7333,139.5,84.2,65,88,11.5,1613084462
Piritiba,BR,-11.7303,-40.5553,74.95,60,19,8.7,1613084793
Saint George,US,37.1041,-113.5841,66.0,24,1,13.8,1613084479
Saldanha,ZA,-33.0117,17.9442,64.4,88,1,10.36,1613084419
Comodoro Rivadavia,AR,-45.8667,-67.5,86.0,21,0,17.27,1613084793
Coyhaique,CL,-45.5752,-72.0662,66.2,37,20,10.36,1613084546
Praia da Vitória,PT,38.7333,-27.0667,62.6,88,40,33.15,1613084390
Jiayuguan City,CN,39.8167,98.3,32.34,75,100,9.51,1613084793
Kiruna,SE,67.8557,20.2251,12.2,85,20,8.05,1613084794
Banjar,ID,-8.19,114.9675,77.0,94,75,2.3,1613084794
Nouakchott,MR,18.0858,-15.9785,73.4,10,0,13.8,1613084794
Itacaré,BR,-14.2775,-38.9967,80.6,78,20,6.91,1613084794
Chokurdakh,RU,70.6333,147.9167,-18.54,81,70,4.29,1613084391
Muros,ES,42.7762,-9.0603,55.99,91,100,15.01,1613084393
Isangel,VU,-19.55,169.2667,84.2,74,40,3.44,1613084794
Port Townsend,US,48.117,-122.7605,32.0,59,75,10.36,1613084486
Healdsburg,US,38.6105,-122.8692,53.01,93,90,4.61,1613084795
Qaanaaq,GL,77.484,-69.3632,9.7,68,0,9.24,1613084400
Imeni Babushkina,RU,59.7573,43.1285,-1.32,92,99,3.74,1613084795
Tual,ID,-5.6667,132.75,83.66,77,100,11.52,1613084408
Eyl,SO,7.9803,49.8164,71.2,76,52,11.32,1613084520
Huambo,AO,-12.7761,15.7392,58.5,68,82,4.65,1613084795
Luanda,AO,-8.8368,13.2343,80.6,78,0,4.61,1613084175
Yangi Marg`ilon,UZ,40.4272,71.7189,46.4,57,0,6.91,1613084515
Budeşti,RO,44.2347,26.4658,34.0,90,100,1.01,1613084796
Norden,DE,53.6,7.2,21.0,75,52,1.99,1613084796
Bereda,ES,43.2686,-7.5406,53.01,99,100,5.99,1613084546
Morwell,AU,-38.2333,146.4,62.01,88,97,4.0,1613084796
Cabo San Lucas,MX,22.8909,-109.9124,73.4,60,20,10.36,1613084332
Praia,CV,14.9215,-23.5087,69.8,73,0,13.8,1613084485
Kumul,CN,42.8,93.45,30.2,77,72,8.48,1613084492
Chake Chake,TZ,-5.2459,39.7666,79.34,77,99,8.03,1613084796
Vestmannaeyjar,IS,63.4427,-20.2734,41.09,74,100,35.63,1613084446
Twin Falls,US,42.3505,-114.6445,42.8,52,90,4.61,1613084775
Ketchikan,US,55.3422,-131.6461,23.0,33,1,17.27,1613084545
Panzhihua,CN,26.5851,101.7128,43.0,74,0,1.23,1613084797
Chalmette,US,29.9427,-89.9634,66.0,94,90,6.91,1613084604
Santa Maria,BR,-29.6842,-53.8069,68.0,100,75,4.61,1613084498
Kamenka,RU,51.3223,42.7678,26.01,96,62,4.76,1613084797
Mergen,CN,49.1833,125.2167,16.07,92,33,14.56,1613084797
Mawlaik,MM,23.6333,94.4167,57.18,59,33,0.34,1613084798
Burnie,AU,-41.0667,145.9167,61.0,85,74,5.01,1613084798
Katsuura,JP,35.1333,140.3,44.01,56,0,9.22,1613084427
Lagoa,PT,39.05,-27.9833,59.95,83,100,34.74,1613084545
Makkah al Mukarramah,SA,21.4267,39.8261,74.55,59,0,2.93,1613084798
Luau,AO,-10.7073,22.2247,65.8,99,100,3.29,1613084650
Vicksburg,US,32.3526,-90.8779,35.6,100,90,9.22,1613084652
Margate,GB,51.3813,1.3862,33.01,62,42,5.99,1613084536
Silifke,TR,36.3778,33.9344,57.51,74,19,5.66,1613084799
Māngrol,IN,21.1167,70.1167,68.68,43,19,6.91,1613084799
Santa Isabel Rio Negro,BR,-0.4139,-65.0192,80.74,71,99,1.86,1613084542
Hudson Bay,CA,52.85,-102.3842,-22.49,83,100,10.6,1613084799
Kingman,US,35.1894,-114.053,66.2,22,1,8.05,1613084485
Cidreira,BR,-30.1811,-50.2056,74.59,82,85,12.62,1613084526
Roebourne,AU,-20.7833,117.1333,81.84,72,25,10.58,1613084800
Batemans Bay,AU,-35.7167,150.1833,69.01,93,80,4.68,1613084800
Lorengau,PG,-2.0226,147.2712,83.07,75,94,6.06,1613084477
Alcalá,CO,4.6747,-75.7825,77.0,65,40,6.91,1613084800
Severo-Kuril'sk,RU,50.6789,156.125,29.75,91,100,7.38,1613084390
Kysyl-Syr,RU,63.8986,122.7617,-15.39,88,100,1.43,1613084386
Deputatsky,RU,69.3,139.9,-6.66,81,100,2.01,1613084472
Kathu,TH,7.9178,98.3332,84.99,83,40,5.75,1613084801
Thunder Bay,CA,48.4001,-89.3168,-0.4,38,75,5.75,1613084643
Narón,ES,43.5167,-8.1528,55.99,100,75,3.44,1613084801
Udachny,RU,66.4167,112.4,-23.57,85,37,2.82,1613084801
Sioux Lookout,CA,50.1001,-91.917,-14.8,53,90,4.61,1613084430
Taoudenni,ML,22.6783,-3.9836,69.33,18,0,11.65,1613084540
Progreso,MX,21.2833,-89.6667,89.01,48,40,11.5,1613084801
Talcahuano,CL,-36.7167,-73.1167,66.2,77,75,4.61,1613084549
Qiongshan,CN,20.0058,110.3542,57.2,100,75,6.71,1613084801
Bandarbeyla,SO,9.4942,50.8122,73.17,74,88,13.11,1613084521
Ahipara,NZ,-35.1667,173.1667,68.45,52,5,9.51,1613084533
Taksimo,RU,56.3444,114.8794,-1.26,86,100,3.89,1613084565
College,US,64.8569,-147.8028,12.2,67,75,1.63,1613084497
Kawalu,ID,-7.3817,108.2082,72.25,90,93,1.3,1613084802
Evans,US,33.5337,-82.1307,66.2,88,90,4.61,1613084645
Ormara,PK,25.2088,64.6357,71.33,51,0,6.08,1613084802
Abilene,US,32.4487,-99.7331,26.6,80,90,9.22,1613084545
Ometepec,MX,16.6833,-98.4167,83.44,46,0,8.57,1613084802
Christchurch,NZ,-43.5333,172.6333,61.0,63,75,8.05,1613084432
Korla,CN,41.7597,86.1469,31.17,85,95,2.73,1613084463
Hermiston,US,45.8404,-119.2895,28.4,50,90,11.5,1613084803
Songea,TZ,-10.6833,35.65,64.9,100,100,3.65,1613084803
Terney,RU,45.0503,136.6092,23.61,86,96,3.18,1613084803
Haines Junction,CA,60.7522,-137.5108,-9.4,45,11,2.3,1613084528
San Cristobal,VE,7.7669,-72.225,84.2,54,40,9.22,1613084480
Arlit,NE,18.7369,7.3853,72.3,17,0,5.39,1613084541
Flin Flon,CA,54.7682,-101.865,-18.4,63,75,9.22,1613084804
Pervoye Maya,RU,56.164,44.7196,10.4,79,75,4.47,1613084804
Bethel,US,41.3712,-73.414,26.6,50,1,12.66,1613084389
Carutapera,BR,-1.195,-46.02,79.43,83,100,7.29,1613084513
Vozrozhdeniye,RU,44.5503,38.2136,48.0,76,100,6.02,1613084804
Sabla,NG,12.7525,4.7077,75.34,17,0,8.9,1613084804
Nanortalik,GL,60.1432,-45.2371,28.38,88,100,13.58,1613084427
Aswān,EG,24.0934,32.907,70.66,37,85,9.24,1613084805
Hasaki,JP,35.7333,140.8333,35.6,80,75,6.91,1613084450
Calvinia,ZA,-31.4707,19.776,70.99,56,100,1.99,1613084805
Calabozo,VE,8.9242,-67.4293,85.82,32,19,5.55,1613084805
Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,40,16.11,1613084442
Shimoda,JP,34.6667,138.95,39.99,77,100,10.13,1613084592
Jalu,LY,29.0331,21.5482,56.59,56,0,10.09,1613084426
Csány,HU,47.6483,19.8297,19.99,63,0,13.8,1613084805
Ponta do Sol,PT,32.6667,-17.1,57.99,68,70,3.0,1613084421
Port Keats,AU,-14.25,129.55,83.64,79,100,7.31,1613084806
Ngunguru,NZ,-35.6167,174.5,73.99,53,1,5.99,1613084806
Lucea,JM,18.451,-78.1736,80.6,78,75,16.11,1613084542
Abaza,RU,52.655,90.0928,-14.55,82,83,1.79,1613084465
Silao,MX,20.9333,-101.4333,75.2,10,1,17.27,1613084806
Namtsy,RU,62.7161,129.6658,-20.2,76,0,2.24,1613084806
Paamiut,GL,61.994,-49.6678,26.46,85,68,9.08,1613084588
Varhaug,NO,58.6147,5.6457,15.01,57,0,2.3,1613084806
Carndonagh,IE,55.25,-7.2667,34.09,83,100,23.44,1613084806
Yulara,AU,-25.2406,130.9889,77.0,94,90,9.22,1613084532
Termoli,IT,41.9888,14.9895,42.01,76,100,5.99,1613084807
Bollnäs,SE,61.3482,16.3946,9.0,59,44,1.99,1613084807
Kavaratti,IN,10.5669,72.642,81.1,56,21,5.95,1613084464
Port Blair,IN,11.6667,92.75,77.5,72,25,8.28,1613084807
Hay River,CA,60.8156,-115.7999,-4.0,71,78,17.27,1613084689
Görele,TR,41.0308,39.0031,57.2,44,0,3.44,1613084808
Khandyga,RU,62.6667,135.6,2.44,87,15,3.91,1613084808
Negombo,LK,7.2083,79.8358,71.6,78,0,4.61,1613084761
Mayskiy,RU,47.6931,40.1025,44.6,93,20,15.66,1613084808
Vao,NC,-22.6667,167.4833,76.57,81,8,10.89,1613084430
Northam,GB,51.0333,-4.2167,37.99,77,100,8.01,1613084808
Sistranda,NO,63.7256,8.834,23.0,80,0,4.61,1613084531
Torbay,CA,47.6666,-52.7314,23.0,93,90,36.82,1613084515
Bereket,TM,39.2446,55.5154,47.08,70,100,2.84,1613084451
Dicabisagan,PH,17.0818,122.4157,75.04,86,46,3.67,1613084809
Iqaluit,CA,63.7506,-68.5145,-2.0,78,75,18.41,1613084487
Maţāy,EG,28.419,30.7792,57.27,36,0,8.59,1613084455
Kiryat Gat,IL,31.61,34.7642,54.0,82,0,3.78,1613084241
Hokitika,NZ,-42.7167,170.9667,59.81,67,6,5.5,1613084549
Geraldton,AU,-28.7667,114.6,57.2,88,0,8.05,1613084415
Basco,PH,20.4487,121.9702,73.31,77,51,18.88,1613084513
Srednekolymsk,RU,67.45,153.6833,-25.73,85,20,5.1,1613084450
Beloha,MG,-25.1667,45.05,74.64,80,93,7.83,1613084495
Xichang,CN,27.8964,102.2634,43.11,76,91,1.59,1613084810
Sept-Îles,CA,50.2001,-66.3821,17.01,92,90,2.3,1613084427
Edson,CA,53.5835,-116.4356,-9.4,54,20,13.8,1613084810
Padang,ID,-0.9492,100.3543,73.4,88,40,2.3,1613084471
Verkhoyansk,RU,67.5447,133.385,-17.41,82,60,1.59,1613084811
São Filipe,CV,14.8961,-24.4956,72.21,67,1,9.86,1613084544
Ahtopol,BG,42.1,27.95,37.4,87,90,20.71,1613084811
Aykhal,RU,66.0,111.5,-23.42,84,5,4.23,1613084469
Kattivākkam,IN,13.2167,80.3167,68.0,83,40,0.36,1613084504
Otavi,NA,-19.65,17.3333,65.3,93,100,4.03,1613084811
Tynda,RU,55.1667,124.7167,14.52,95,100,11.97,1613084811
Noumea,NC,-22.2763,166.4572,82.99,69,20,6.91,1613084518
Gouyave,GD,12.1646,-61.7296,78.8,73,20,20.71,1613084812
Kalisz,PL,51.7611,18.091,7.0,87,73,4.0,1613084812
Vieques,PR,18.425,-65.8329,77.0,78,40,5.75,1613084812
Manado,ID,1.487,124.8455,77.0,94,20,2.3,1613084812
Ancud,CL,-41.8697,-73.8203,62.01,82,75,9.22,1613084394
Ahome,MX,25.9167,-109.1833,71.6,43,1,18.41,1613084812
Anju,KP,39.6178,125.6647,32.29,91,39,3.18,1613084812
Butembo,CD,0.15,29.2833,62.53,66,91,2.82,1613084813
Porto-Novo,BJ,6.4965,2.6036,86.0,84,40,12.66,1613084813
Varangaon,IN,21.0167,75.9,65.1,28,93,6.02,1613084813
Silver City,US,32.7701,-108.2803,60.8,17,1,8.05,1613084813
Sai Buri,TH,6.7013,101.6168,75.02,88,65,6.06,1613084813
Port Macquarie,AU,-31.4333,152.9167,80.01,67,75,1.01,1613084813
Mount Gambier,AU,-37.8333,140.7667,62.6,67,90,11.5,1613084318
Raduzhny,RU,62.0961,77.475,-20.87,87,100,6.69,1613084813
Thompson,CA,55.7435,-97.8558,-20.2,69,75,4.61,1613084457
Kingston,JM,17.997,-76.7936,80.6,57,75,19.57,1613084607
Marabba,SD,12.35,32.1833,75.13,20,1,7.9,1613084814
Sakhipur,BD,24.3,90.1833,71.6,73,40,2.06,1613084523
Honiara,SB,-9.4333,159.95,78.84,85,100,6.58,1613084814
Waingapu,ID,-9.6567,120.2641,78.94,78,24,4.36,1613084475
Pangkalanbuun,ID,-2.6833,111.6167,74.26,95,100,2.37,1613084814
Kiama,AU,-34.6833,150.8667,71.01,78,0,11.34,1613084814
Cacaopera,SV,13.7667,-88.0833,69.8,56,75,3.51,1613084815
Biak,ID,-0.9131,122.8766,78.64,77,96,3.0,1613084815
Mabaruma,GY,8.2,-59.7833,72.09,96,71,3.6,1613084454
Mahon,ES,39.8885,4.2658,50.0,93,0,3.44,1613084815
Kolondiéba,ML,11.0882,-6.8926,77.07,18,13,1.21,1613084815
Ust-Tsilma,RU,65.441,52.1498,-12.51,89,93,1.57,1613084815
Detchino,RU,54.8092,36.3075,8.6,85,100,6.71,1613084815
Mórrope,PE,-6.5417,-80.0111,78.8,61,0,17.27,1613084816
Puerto Baquerizo Moreno,EC,-0.9,-89.6,80.6,89,75,6.91,1613084423
Tilichiki,RU,60.4667,166.1,-19.95,83,0,11.79,1613084454
Meulaboh,ID,4.1363,96.1285,77.04,87,45,4.81,1613084508
Ibiapina,BR,-3.9233,-40.8894,68.27,100,98,3.96,1613084816
Gorontalo,ID,0.5412,123.0595,77.58,86,34,3.06,1613084816
Airai,TL,-8.9266,125.4092,64.9,97,94,1.1,1613084428
Labuan,MY,5.2767,115.2417,77.0,94,20,4.14,1613084816
Kahului,US,20.8947,-156.47,80.6,50,20,14.97,1613084304
Grindavik,IS,63.8424,-22.4338,37.4,81,75,17.27,1613084500
Flagstaff,US,35.1981,-111.6513,55.99,34,1,10.36,1613084817
Touros,BR,-5.1989,-35.4608,80.6,78,40,10.36,1613084397
Tawang Town,IN,27.5833,91.8667,32.74,84,0,2.73,1613084539
Puerto Escondido,MX,15.85,-97.0667,86.0,70,20,6.91,1613084817
Djambala,CG,-2.5447,14.7533,71.15,86,36,3.83,1613084530
Caravelas,BR,-17.7125,-39.2481,76.35,81,95,5.55,1613084818
Daytona Beach,US,29.2108,-81.0228,73.99,78,40,14.88,1613084584
Matamoros,MX,25.5333,-103.25,80.6,10,20,8.52,1613084818
Joshīmath,IN,30.5667,79.5667,45.81,36,55,6.42,1613084818
Katete,UG,-0.7818,29.7544,66.69,64,100,3.62,1613084818
Pemangkat,ID,1.1667,108.9667,75.79,91,100,8.34,1613084818
Faya,SA,18.3851,42.4509,53.6,71,0,4.61,1613084478
Sinjār,IQ,36.3209,41.8754,51.28,64,0,2.3,1613084819
Carnot,CF,4.9409,15.8665,72.23,22,3,3.44,1613084715
Kedrovyy,RU,56.1667,91.8167,-11.2,70,0,6.71,1613084819
Ridgecrest,US,35.6225,-117.6709,69.8,26,75,5.75,1613084687
Sinnamary,GF,5.3833,-52.95,78.04,84,99,13.85,1613084819
San Vicente,AR,-26.6167,-54.1333,64.83,100,61,1.72,1613084819
Clyde River,CA,70.4692,-68.5914,6.8,92,45,31.07,1613084394
Olafsvik,IS,64.8945,-23.7142,38.35,76,100,17.49,1613084506
